rooms,xCoords,yCoords,numMonsters,deadlyScore
 -1,0,0,0,0
0,0,0,0,0
1,1,0,2,0
2,1,1,1,0
3,0,1,8,0
4,-1,1,0,0
5,-2,1,1,0
6,-1,0,0,0
7,-1,-1,0,0
8,-1,-2,0,0
9,-2,-2,0,0
10,-3,-2,0,0
11,-3,-1,1,0
12,-3,-3,5,0
13,-4,-1,3,0
14,-4,-2,1,0
15,-3,-4,0,0
16,-2,-4,0,0
17,-3,-5,0,0
18,-2,-5,4,0
19,-1,-5,0,0
20,-1,-4,5,0
21,0,-5,4,0
22,-1,-6,0,0
23,-3,-6,8,0
24,-3,-7,7,0
25,-4,-7,0,0
26,-2,-7,0,0
27,-3,-8,0,0
28,1,-5,0,0
29,-4,-8,3,0
30,-4,-9,0,0
31,-2,-8,3,0
32,-2,-9,8,0
33,-1,-9,1,0
34,-2,-6,4,0
35,-2,-10,0,0
36,-2,-11,0,0
37,-4,-5,0,0
38,-5,-5,0,0
39,-5,-4,0,0
40,-5,-3,0,0
