rooms,xCoords,yCoords,numMonsters,miniBoss
 -1,0,0,0,0
0,0,0,0,0
1,-1,0,0,0
2,-1,1,4,0
3,-2,1,0,0
4,-2,0,5,0
5,0,1,0,1
6,-2,-1,0,0
7,-2,-2,0,0
8,-1,-2,7,0
9,-1,-1,2,0
10,0,-2,0,0
11,-1,-3,0,0
12,-2,-3,6,0
13,-3,-3,7,0
14,-3,-2,0,0
15,-3,-4,0,0
16,-4,-3,0,0
17,-3,-1,0,1
18,-5,-3,2,0
19,-5,-2,1,0
20,-3,0,2,0
21,-4,0,3,0
22,0,-3,7,0
23,1,-3,5,0
24,1,-4,0,0
25,1,-2,0,0
26,2,-3,0,0
27,-1,-4,2,0
28,-2,-4,6,0
29,-2,-5,3,0
30,2,-2,0,0
31,3,-2,0,1
32,3,-3,0,0
33,4,-2,0,0
34,4,-3,0,0
35,5,-3,2,0
36,5,-2,1,0
37,6,-2,0,0
38,7,-2,0,0
39,8,-2,0,0
