rooms,xCoords,yCoords,numMonsters,miniBoss
 -1,0,0,0,0
0,0,0,0,0
1,0,-1,6,0
2,0,-2,0,0
3,1,-2,0,0
4,0,-3,5,0
5,-1,-2,6,0
6,1,-1,7,0
7,-1,-3,0,1
8,1,-3,5,0
9,1,0,0,0
10,1,1,0,0
11,2,-3,0,0
12,3,-3,0,1
13,4,-3,0,0
14,2,-4,2,0
15,1,-4,7,0
16,1,-5,2,0
17,0,-5,2,0
18,-1,-5,3,0
19,-1,-6,0,0
20,-2,-5,0,0
21,-1,-4,3,0
22,2,-2,7,0
23,5,-3,0,1
24,5,-4,0,0
25,6,-3,0,0
26,6,-2,0,0
27,5,-2,0,0
28,6,-4,3,0
29,6,-5,0,0
30,7,-3,0,0
31,8,-3,0,0
32,8,-2,0,0
33,9,-3,0,0
34,8,-4,0,0
35,7,-4,5,0
36,5,-1,0,1
37,5,0,0,0
38,8,-1,0,0
39,7,-1,0,0
40,6,-1,0,0
41,6,0,0,0
